,n,MB,MAGE,RMSE,IOA,r,Mm,Om,Msd,Osd,name
rh,383,-4.86,8.67,11.15,0.91,0.85,65.93,70.79,19.25,17.58,LPOV
rh,167,-10.68,13.05,17.9,0.82,0.75,61.14,71.82,21.41,19.2,LPMT
rh,675,-8.94,11.48,14.48,0.78,0.73,73.4,82.33,16.56,13.76,LPST
rh,691,-8.26,9.99,13.05,0.84,0.81,68.79,77.05,17.19,15.13,LPAR
rh,674,-18.19,19.48,24.64,0.58,0.51,66.99,85.18,18.82,13.51,LPPT
rh,691,-13.24,13.87,18.42,0.76,0.76,67.96,81.21,19.49,15.91,LPCS
tc,147,0.63,1.69,2.14,0.91,0.87,13.38,12.74,4.08,3.1,LPPR
tc,383,0.2,1.22,1.57,0.94,0.91,12.91,12.7,3.67,3.03,LPOV
tc,167,1.38,1.85,2.67,0.88,0.88,12.93,11.55,3.21,4.56,LPMT
tc,676,0.65,1.77,2.2,0.94,0.92,11.07,10.42,5.18,4.19,LPST
tc,677,2.71,2.86,3.81,0.81,0.89,12.04,9.32,3.24,5.09,LPPT
tc,691,0.67,1.28,1.63,0.95,0.94,11.86,11.19,4.07,3.33,LPAR
tc,691,1.82,1.95,2.5,0.88,0.9,11.92,10.1,3.19,3.88,LPCS
wd,633,9.38,25.11,,,,,,,,LPAR
wd,617,5.68,31.34,,,,,,,,LPCS
wd,407,8.29,38.01,,,,,,,,LPPT
wd,630,17.46,33.28,,,,,,,,LPST
wd,369,9.17,23.0,,,,,,,,LPOV
wd,138,9.8,31.55,,,,,,,,LPMT
ws,168,0.98,1.54,1.99,0.83,0.75,4.67,3.7,2.41,2.47,LPMT
ws,676,1.74,1.96,2.57,0.71,0.72,4.0,2.26,2.73,1.77,LPPT
ws,691,0.02,1.22,1.64,0.84,0.71,3.43,3.41,2.23,2.01,LPAR
ws,675,1.18,1.65,2.25,0.71,0.62,4.26,3.08,2.38,1.87,LPST
ws,383,0.84,1.53,1.97,0.78,0.66,4.75,3.92,2.24,2.11,LPOV
ws,691,0.73,1.6,2.16,0.75,0.63,3.92,3.19,2.6,1.97,LPCS
