,n,MB,MAGE,RMSE,IOA,r,Mm,Om,Msd,Osd,name
rh,445,0.51,8.03,10.4,0.95,0.91,57.93,57.43,24.57,22.81,LPOV
rh,236,-5.97,12.02,17.02,0.87,0.78,57.87,63.84,24.89,23.41,LPMT
rh,718,-4.94,9.84,12.81,0.92,0.88,64.8,69.74,24.66,20.24,LPST
rh,744,-0.24,8.12,11.28,0.94,0.89,58.65,58.89,24.75,23.8,LPAR
rh,720,-13.36,16.86,24.28,0.75,0.67,64.48,77.84,27.14,20.51,LPPT
rh,744,-10.4,12.76,18.05,0.88,0.84,62.37,72.77,26.94,24.34,LPCS
tc,194,0.35,1.28,1.61,0.97,0.94,22.98,22.62,4.67,4.66,LPPR
tc,445,-0.72,1.34,1.71,0.96,0.94,21.3,22.02,4.11,4.43,LPOV
tc,236,0.62,1.98,2.9,0.9,0.86,21.19,20.57,3.95,5.45,LPMT
tc,718,0.23,1.42,1.86,0.96,0.93,19.79,19.55,5.1,4.85,LPST
tc,720,1.67,2.73,3.87,0.81,0.75,18.39,16.72,3.64,5.24,LPPT
tc,744,-0.31,1.11,1.43,0.97,0.95,20.53,20.83,4.51,4.53,LPAR
tc,744,1.52,2.02,2.8,0.9,0.87,18.76,17.24,3.94,4.78,LPCS
wd,670,9.65,28.72,,,,,,,,LPAR
wd,672,9.5,33.99,,,,,,,,LPCS
wd,486,-2.95,39.56,,,,,,,,LPPT
wd,661,4.58,32.11,,,,,,,,LPST
wd,426,9.76,32.79,,,,,,,,LPOV
wd,183,11.0,30.57,,,,,,,,LPMT
ws,236,1.05,1.43,2.03,0.69,0.52,4.02,2.97,1.79,1.78,LPMT
ws,720,0.44,1.2,1.56,0.78,0.61,2.81,2.37,1.68,1.73,LPPT
ws,744,-0.37,1.09,1.37,0.83,0.7,3.04,3.41,1.68,1.76,LPAR
ws,719,0.79,1.33,1.68,0.73,0.59,3.68,2.89,1.76,1.48,LPST
ws,445,0.83,1.36,1.68,0.84,0.76,4.62,3.78,2.16,2.07,LPOV
ws,744,0.16,1.17,1.48,0.79,0.64,2.82,2.66,1.57,1.86,LPCS
