,n,MB,MAGE,RMSE,IOA,r,Mm,Om,Msd,Osd,name
rh,414,-2.54,7.9,10.02,0.93,0.88,65.71,68.25,20.56,17.92,LPOV
rh,253,-8.67,11.59,16.16,0.85,0.79,61.97,70.64,21.85,19.61,LPMT
rh,727,-4.51,9.0,11.05,0.9,0.84,72.71,77.22,18.62,16.25,LPST
rh,745,-5.01,8.23,10.14,0.92,0.89,67.93,72.94,19.59,17.46,LPAR
rh,704,-18.85,21.27,27.75,0.5,0.28,62.79,81.63,19.13,14.26,LPPT
rh,744,-12.59,14.57,19.16,0.77,0.71,61.19,73.78,18.98,18.66,LPCS
tc,205,0.59,1.38,1.93,0.91,0.84,17.28,16.69,3.19,3.28,LPPR
tc,414,0.03,1.07,1.45,0.94,0.88,15.9,15.87,3.05,2.9,LPOV
tc,255,1.07,1.73,2.84,0.84,0.82,15.86,14.79,2.84,4.42,LPMT
tc,727,0.2,1.51,1.97,0.94,0.89,14.14,13.94,4.21,3.96,LPST
tc,727,2.13,2.74,3.86,0.77,0.77,13.96,11.84,2.95,4.91,LPPT
tc,745,0.39,1.19,1.63,0.93,0.88,14.76,14.37,3.3,3.12,LPAR
tc,744,1.26,1.72,2.45,0.88,0.86,13.92,12.66,3.1,4.05,LPCS
wd,683,10.52,27.87,,,,,,,,LPAR
wd,696,7.56,23.22,,,,,,,,LPCS
wd,458,2.98,22.84,,,,,,,,LPPT
wd,687,7.7,29.35,,,,,,,,LPST
wd,401,9.53,25.46,,,,,,,,LPOV
wd,205,16.23,24.31,,,,,,,,LPMT
ws,253,0.85,1.44,1.93,0.83,0.75,4.97,4.12,2.16,2.59,LPMT
ws,706,1.25,1.62,2.06,0.74,0.65,3.84,2.6,1.99,1.92,LPPT
ws,745,-0.46,1.16,1.48,0.87,0.79,3.44,3.9,2.0,2.26,LPAR
ws,727,0.79,1.45,1.82,0.75,0.62,4.25,3.46,1.97,1.79,LPST
ws,414,0.33,1.28,1.66,0.88,0.79,5.09,4.77,2.36,2.58,LPOV
ws,744,0.29,1.23,1.57,0.83,0.7,3.78,3.49,1.87,2.1,LPCS
